play,mean_rewards,mean_food_eaten
1,-0.7360000000000002,0.66
2,-0.632,0.92
3,-0.39199999999999996,1.52
4,-0.3279999999999999,1.68
5,-0.6720000000000003,0.82
6,-0.7040000000000002,0.74
7,-0.18399999999999994,2.04
8,-0.4960000000000001,1.26
9,-0.4239999999999998,1.44
10,-0.4960000000000001,1.28
11,-0.5360000000000001,1.16
12,-0.6480000000000002,0.88
13,-0.6240000000000001,0.94
14,-0.6320000000000001,0.92
15,-0.3999999999999999,1.5
16,-0.20799999999999996,1.98
17,-0.6080000000000001,0.98
18,-0.56,1.1
19,-0.46399999999999997,1.34
20,-0.5520000000000002,1.12
21,-0.7040000000000003,0.74
22,-0.568,1.08
23,-0.04799999999999999,2.38
24,-0.472,1.32
25,-0.27999999999999986,1.8
26,-0.352,1.62
27,-0.6480000000000001,0.88
28,-0.344,1.64
29,-0.632,0.92
30,-0.15199999999999997,2.12
31,-0.3199999999999999,1.7
32,-0.23199999999999996,1.92
33,0.25600000000000006,3.14
34,-0.552,1.12
35,-0.5359999999999999,1.16
36,-0.2799999999999999,1.8
37,-0.08799999999999995,2.28
38,-0.7920000000000001,0.52
39,-0.8160000000000003,0.46
40,-0.3599999999999999,1.6
41,-0.3359999999999998,1.66
42,-0.4720000000000001,1.32
43,-0.4,1.5
44,-0.408,1.48
45,-0.4000000000000001,1.5
46,-0.43999999999999995,1.4
47,-0.3919999999999999,1.52
48,0.28,3.2
49,-0.3839999999999999,1.54
50,-0.11199999999999996,2.22
51,-0.23199999999999985,1.92
52,0.24,3.1
53,-0.43199999999999994,1.42
54,-0.6720000000000002,0.82
55,-0.8480000000000003,0.38
56,-0.5920000000000001,1.02
57,-0.5200000000000001,1.2
58,-0.536,1.16
59,-0.5840000000000002,1.04
60,-0.184,2.04
61,-0.22399999999999984,1.94
62,-0.136,2.18
63,-0.32799999999999985,1.68
64,-0.19999999999999993,2.0
65,0.00799999999999999,2.52
66,-0.05599999999999999,2.36
67,-0.3279999999999999,1.68
68,-0.7360000000000001,0.66
69,-0.5600000000000002,1.1
70,-0.008000000000000002,2.48
71,0.22400000000000003,3.06
72,-0.10399999999999998,2.24
73,-0.12799999999999995,2.18
74,0.08000000000000002,2.7
75,0.5759999999999998,3.94
76,-0.13599999999999995,2.16
77,-0.2479999999999999,1.88
78,-0.05599999999999995,2.36
79,-0.18400000000000002,2.04
80,-0.19999999999999993,2.0
81,0.3240000000000001,3.26
82,0.19600000000000012,2.94
83,-0.20799999999999985,1.98
84,0.42399999999999977,3.56
85,0.2720000000000001,3.18
86,0.4800000000000002,3.7
87,0.22400000000000003,3.06
88,0.28,3.2
89,-0.136,2.16
90,-0.19999999999999996,2.0
91,0.8879999999999998,4.72
92,0.16,2.9
93,-0.23999999999999994,1.9
94,-0.12,2.2
95,0.29600000000000004,3.24
96,0.2800000000000001,3.2
97,-0.176,2.06
98,0.29600000000000004,3.26
99,0.023999999999999994,2.56
100,0.09600000000000004,2.74
101,2.02,7.5
102,0.72,4.32
103,0.47199999999999986,3.58
104,0.8359999999999999,4.56
105,1.6359999999999995,6.54
106,0.468,3.62
107,0.8360000000000001,4.54
108,0.8959999999999998,4.74
109,0.736,4.34
110,0.5720000000000001,3.78
111,0.92,4.7
112,0.6279999999999999,4.02
113,0.552,3.88
114,0.616,4.04
115,0.23199999999999996,3.08
116,0.18400000000000005,2.98
117,0.98,4.9
118,0.9279999999999998,4.82
119,0.812,4.48
120,0.37599999999999995,3.44
121,0.82,4.5
122,0.36,3.4
123,-0.336,1.66
124,0.8519999999999998,4.62
125,0.728,4.32
126,1.0399999999999996,5.02
127,0.9440000000000002,4.86
128,0.7959999999999997,4.44
129,0.6719999999999997,4.24
130,1.092,5.18
131,0.16000000000000014,2.9
132,0.408,3.52
133,0.5679999999999997,3.92
134,0.8079999999999999,4.52
135,1.128,5.32
136,1.96,7.4
137,0.52,3.8
138,0.7679999999999998,4.42
139,1.9999999999999998,7.4
140,1.1079999999999999,5.22
141,0.9559999999999998,4.84
142,0.23200000000000004,3.08
143,0.9039999999999995,4.76
144,0.09599999999999997,2.74
145,2.075999999999999,7.44
146,-0.10399999999999998,2.24
147,1.1119999999999997,5.22
148,1.216,5.56
149,1.5119999999999998,6.28
150,1.244,5.56
151,2.1880000000000006,7.82
152,0.07999999999999999,2.7
153,0.25200000000000017,3.08
154,0.3160000000000002,3.24
155,1.004,4.96
156,1.1199999999999999,5.3
157,1.6680000000000001,6.52
158,0.5359999999999999,3.84
159,1.5959999999999999,6.44
160,0.696,4.14
161,1.1759999999999997,5.44
162,2.12,7.72
163,1.3840000000000001,5.86
164,2.0440000000000005,7.46
165,2.4560000000000004,8.44
166,1.828,6.82
167,1.7800000000000002,6.72
168,1.5759999999999998,6.34
169,2.992,9.48
170,0.3840000000000001,3.46
171,1.5679999999999998,6.44
172,2.216,7.84
173,1.6399999999999997,6.4
174,2.4800000000000004,8.2
175,2.416,8.14
176,1.0999999999999999,5.2
177,1.268,5.52
178,1.7080000000000002,6.72
179,1.2360000000000002,5.54
180,1.872,7.08
181,2.2679999999999993,8.02
182,1.0919999999999999,5.2
183,1.96,7.2
184,2.228,7.62
185,1.4920000000000002,6.18
186,1.3559999999999999,5.84
187,2.22,7.9
188,2.364,8.18
189,2.4000000000000004,8.4
190,0.3720000000000001,3.38
191,0.8560000000000001,4.64
192,1.072,5.08
193,1.6719999999999997,6.58
194,1.9880000000000007,7.24
195,0.4759999999999999,3.64
196,0.98,4.9
197,2.156,7.54
198,2.0360000000000005,7.36
199,1.9319999999999995,7.18
200,1.3639999999999999,5.86
201,1.4960000000000002,6.24
202,0.8079999999999999,4.52
203,0.30400000000000005,3.26
204,1.2159999999999997,5.56
205,0.42399999999999993,3.56
206,1.0599999999999998,5.1
207,1.8159999999999998,6.84
208,2.228,7.72
209,2.1480000000000006,7.62
210,1.74,6.82
211,2.82,9.1
212,3.9279999999999995,11.62
213,1.456,6.14
214,3.2080000000000006,10.02
215,1.9839999999999998,7.36
216,3.5439999999999996,10.76
217,2.556,8.44
218,0.9039999999999999,4.66
219,2.608,8.82
220,1.3119999999999998,5.58
221,1.808,6.82
222,2.3360000000000003,8.14
223,1.8519999999999996,7.02
224,0.9319999999999999,4.78
225,2.144,7.66
226,3.1719999999999997,10.08
227,1.928,7.12
228,0.4560000000000002,3.64
229,3.0319999999999987,9.6
230,1.376,5.94
231,2.735999999999999,9.16
232,2.04,7.5
233,1.6600000000000004,6.6
234,2.472,8.58
235,2.072,7.48
236,3.0159999999999996,9.64
237,1.6400000000000006,6.5
238,2.64,8.6
239,2.384,8.16
240,1.9520000000000002,7.18
241,1.6480000000000001,6.52
242,0.26400000000000007,3.18
243,0.5880000000000001,3.92
244,3.312,10.2
245,2.3120000000000003,8.0
246,2.016,7.24
247,1.7880000000000005,6.92
248,2.427999999999999,8.22
249,1.9999999999999998,7.3
250,2.328,7.82
251,2.6679999999999997,8.92
252,2.256,7.94
253,0.78,4.4
254,1.8400000000000005,7.1
255,0.7559999999999998,4.34
256,1.6960000000000002,6.64
257,1.436,5.94
258,1.02,5.0
259,1.6159999999999999,6.44
260,1.6640000000000004,6.36
261,1.416,6.04
262,1.9879999999999998,7.42
263,2.1759999999999997,7.74
264,2.296,8.04
265,2.3759999999999994,8.04
266,2.172,7.7
267,2.2239999999999993,7.86
268,1.8199999999999996,6.8
269,1.4599999999999997,6.1
270,2.9800000000000004,9.4
271,1.244,5.58
272,1.1439999999999997,5.26
273,2.1440000000000006,7.46
274,1.3,5.5
275,1.8640000000000003,6.96
276,1.4040000000000001,5.86
277,1.16,5.3
278,2.2159999999999997,7.84
279,2.012000000000001,7.48
280,2.556,8.54
281,1.9000000000000004,7.24
282,0.8960000000000001,4.74
283,1.024,5.06
284,2.2199999999999998,7.92
285,1.5519999999999998,6.18
286,2.1400000000000006,7.4
287,1.0439999999999998,5.06
288,2.8400000000000007,9.2
289,1.9039999999999995,7.16
290,2.516,8.34
291,3.1800000000000006,10.0
292,2.392,8.18
293,1.6559999999999995,6.44
294,2.1999999999999993,7.82
295,1.3160000000000003,5.54
296,1.212,5.48
297,1.8279999999999992,6.72
298,2.228,7.82
299,1.9240000000000006,7.16
300,1.696,6.64
