play,mean_rewards,mean_food_eaten
1,-0.9840000000000001,0.04
2,-0.6559999999999999,0.86
3,-0.5440000000000002,1.14
4,-0.6960000000000001,0.76
5,-0.512,1.22
6,-0.45599999999999996,1.36
7,-0.136,2.18
8,0.4039999999999999,3.48
9,-0.03199999999999999,2.42
10,-0.31199999999999994,1.72
11,-0.6960000000000002,0.76
12,-0.3119999999999999,1.72
13,-0.184,2.04
14,0.45600000000000007,3.64
15,-0.31199999999999983,1.72
16,-0.23199999999999996,1.92
17,-0.43999999999999984,1.4
18,-0.2959999999999999,1.76
19,-0.5200000000000001,1.2
20,-0.15999999999999995,2.1
21,0.032000000000000084,2.58
22,0.08000000000000006,2.7
23,-0.27199999999999985,1.82
24,-0.1839999999999999,2.04
25,0.40800000000000003,3.52
26,0.3760000000000001,3.46
27,-0.128,2.18
28,0.1920000000000001,2.98
29,0.4719999999999998,3.68
30,0.384,3.46
31,0.176,2.94
32,0.07200000000000001,2.7
33,0.3120000000000001,3.28
34,0.7479999999999998,4.32
35,1.0760000000000003,5.14
36,0.2160000000000001,3.04
37,0.5600000000000002,3.9
38,0.336,3.34
39,0.9799999999999998,4.9
40,0.18400000000000005,2.98
41,0.08,2.7
42,0.28400000000000003,3.16
43,0.5680000000000001,3.92
44,1.1639999999999997,5.36
45,0.2,3.0
46,1.212,5.38
47,0.9199999999999996,4.8
48,1.276,5.64
49,0.664,4.16
50,1.7759999999999996,6.74
51,1.1360000000000003,5.34
52,1.0079999999999996,5.02
53,0.5439999999999997,3.86
54,0.82,4.5
55,1.3560000000000003,5.84
56,0.9679999999999996,4.82
57,0.20800000000000007,3.02
58,0.812,4.48
59,1.4839999999999998,6.16
60,0.816,4.56
61,1.0039999999999998,4.96
62,1.1559999999999995,5.34
63,0.17600000000000016,2.94
64,0.5760000000000001,3.94
65,1.6079999999999997,6.52
66,0.9999999999999997,5.0
67,1.1079999999999999,5.22
68,2.22,7.9
69,2.0079999999999996,7.42
70,1.2919999999999998,5.68
71,0.36000000000000015,3.4
72,1.568,6.32
73,0.8559999999999998,4.64
74,2.0120000000000005,7.28
75,0.528,3.82
76,1.3800000000000003,5.9
77,1.7079999999999997,6.62
78,1.608,6.52
79,0.8320000000000002,4.58
80,1.112,5.28
81,1.844,6.98
82,1.2160000000000002,5.54
83,1.08,5.2
84,0.6959999999999998,4.24
85,0.852,4.58
86,2.1680000000000006,7.62
87,2.1479999999999997,7.62
88,2.8680000000000003,9.32
89,2.18,7.8
90,2.4840000000000004,8.26
91,2.2039999999999997,7.78
92,2.196,7.74
93,2.0920000000000005,7.48
94,2.1919999999999993,7.68
95,1.9920000000000002,7.28
96,2.4679999999999995,8.32
97,2.1679999999999997,7.82
98,2.051999999999999,7.48
99,3.0920000000000005,9.9
100,2.776,8.94
101,3.5799999999999996,10.9
102,3.1079999999999988,9.82
103,1.9159999999999997,7.24
104,2.8680000000000008,9.32
105,1.3160000000000003,5.74
106,2.784,9.16
107,2.36,8.1
108,0.4799999999999999,3.7
109,1.7800000000000002,6.7
110,3.136,9.84
111,4.156000000000001,11.84
112,4.164,12.06
113,1.844,6.96
114,1.9480000000000002,7.12
115,2.603999999999999,8.56
116,2.992,9.58
117,3.4079999999999995,10.42
118,3.968,11.62
119,4.428,12.52
120,4.007999999999999,11.72
121,2.2960000000000007,7.74
122,3.623999999999999,10.88
123,2.9240000000000004,9.26
124,3.02,9.5
125,3.92,11.2
126,3.732000000000001,10.88
127,3.9960000000000004,11.44
128,2.452,8.28
129,2.972,9.38
130,3.9760000000000004,11.64
131,2.944,9.36
132,3.3399999999999994,10.3
133,2.9960000000000013,9.44
134,2.9279999999999995,9.32
135,3.5599999999999996,10.6
136,3.636,10.74
137,3.587999999999999,10.92
138,3.2039999999999997,9.96
139,3.56,10.6
140,4.255999999999999,12.14
141,4.156,11.84
142,3.0759999999999987,9.96
143,3.475999999999999,10.44
144,3.963999999999999,11.66
145,3.3560000000000003,10.14
146,3.5359999999999996,10.44
147,2.072,7.48
148,3.4199999999999995,10.5
149,4.308,12.22
150,4.247999999999999,12.22
151,4.584,12.78
152,3.628,10.92
153,2.752,8.98
154,3.4160000000000004,10.24
155,3.5039999999999996,10.46
156,2.9400000000000004,9.7
157,3.008000000000001,9.72
158,3.315999999999999,10.14
159,3.912,11.58
160,3.6400000000000006,10.9
161,2.316,8.04
162,3.792,11.18
163,2.1359999999999992,7.64
164,3.679999999999999,11.2
165,3.22,9.9
166,2.9559999999999995,9.54
167,3.5239999999999996,10.66
168,4.103999999999999,11.96
169,3.3879999999999995,10.52
170,2.9799999999999995,9.6
171,3.1520000000000006,9.78
172,3.6240000000000006,10.76
173,3.7720000000000002,11.18
174,4.803999999999999,13.26
175,4.200000000000001,11.8
176,4.2,11.8
177,3.856,11.14
178,4.151999999999998,12.0
179,3.771999999999999,11.08
180,3.54,10.5
181,4.000000000000001,11.6
182,4.172,11.98
183,3.907999999999999,11.52
184,4.279999999999999,12.0
185,3.6519999999999992,10.98
186,2.3319999999999994,8.18
187,3.716,10.94
188,4.051999999999999,11.78
189,2.6639999999999997,8.86
190,3.6079999999999988,10.92
191,3.8519999999999994,11.1
192,3.432,10.58
193,4.035999999999999,11.74
194,3.6079999999999997,10.62
195,2.8320000000000003,9.18
196,3.904,11.56
197,3.8519999999999994,11.08
198,3.751999999999999,11.28
199,2.1240000000000006,7.56
200,2.9720000000000004,9.38
201,3.9159999999999986,11.54
202,3.8319999999999994,11.38
203,3.7519999999999993,11.12
204,4.267999999999999,12.12
205,3.568,10.62
206,3.8479999999999994,11.42
207,3.272,9.78
208,4.467999999999999,12.42
209,4.107999999999999,12.02
210,3.98,11.6
211,3.975999999999999,11.74
212,4.251999999999999,12.28
213,3.719999999999999,11.1
214,2.38,8.1
215,3.372,10.38
216,3.679999999999999,11.0
217,4.040000000000001,11.92
218,3.815999999999999,11.34
219,4.4959999999999996,12.34
220,4.459999999999999,12.8
221,3.8000000000000007,11.1
222,3.1839999999999997,9.96
223,3.523999999999999,10.56
224,4.047999999999999,11.54
225,3.188,9.92
226,3.7879999999999994,11.12
227,3.811999999999999,11.48
228,3.7079999999999997,11.12
229,3.764,11.16
230,2.8120000000000003,9.08
231,4.659999999999999,12.8
232,3.836,11.04
233,3.571999999999999,10.88
234,4.188,11.92
235,4.212,11.98
236,3.5520000000000005,10.7
237,3.9759999999999995,11.74
238,3.4320000000000004,10.28
239,3.9,11.3
240,4.7,12.7
241,4.0520000000000005,11.68
242,3.58,10.9
243,3.3119999999999994,10.28
244,3.3759999999999994,10.44
245,3.6519999999999992,11.08
246,3.3759999999999986,10.34
247,2.7239999999999993,8.86
248,3.0159999999999996,9.44
249,3.4160000000000004,10.44
250,4.1,12.0
251,3.448,10.62
252,3.6959999999999997,11.04
253,3.24,10.0
254,3.335999999999999,10.44
255,4.047999999999999,11.52
256,4.071999999999999,11.78
257,3.776,11.24
258,3.915999999999999,11.54
259,3.051999999999999,9.68
260,4.007999999999999,11.44
261,4.191999999999998,11.88
262,4.207999999999999,11.92
263,3.2639999999999993,10.06
264,4.436,12.36
265,3.631999999999999,11.08
266,4.048000000000001,11.64
267,2.5679999999999996,8.52
268,2.708,8.92
269,3.74,10.92
270,4.2,11.9
271,4.232,12.18
272,3.2399999999999993,10.3
273,3.7039999999999997,11.16
274,3.511999999999999,10.58
275,3.8520000000000003,11.18
276,4.212,11.98
277,4.112,11.78
278,3.995999999999999,11.66
279,3.7199999999999993,10.8
280,1.6920000000000002,6.58
281,3.863999999999999,11.46
282,3.636,10.64
283,3.6439999999999997,10.96
284,4.231999999999999,11.98
285,3.5959999999999996,10.76
286,3.9119999999999995,11.58
287,4.255999999999999,12.04
288,2.9400000000000004,9.4
289,3.0119999999999987,9.58
290,3.5359999999999996,10.74
291,3.759999999999999,11.0
292,3.779999999999999,11.2
293,3.512,10.58
294,3.367999999999999,10.32
295,3.84,11.2
296,5.112,13.58
297,4.119999999999999,11.9
298,4.127999999999998,11.92
299,4.0680000000000005,11.62
300,3.1799999999999993,9.9
