play,mean_rewards,mean_food_eaten
1,-0.6640000000000001,0.84
2,-0.46399999999999997,1.36
3,-0.35199999999999987,1.62
4,-0.07199999999999994,2.32
5,-0.07199999999999997,2.34
6,0.28800000000000003,3.22
7,0.10400000000000001,2.76
8,0.05600000000000006,2.64
9,0.40800000000000003,3.52
10,0.384,3.46
11,0.34400000000000014,3.36
12,0.16000000000000006,2.9
13,0.6719999999999999,4.18
14,0.648,4.12
15,0.31200000000000006,3.28
16,0.3440000000000001,3.36
17,0.408,3.52
18,0.11199999999999996,2.78
19,0.20800000000000005,3.04
20,0.26400000000000007,3.16
21,0.52,3.8
22,0.49599999999999994,3.74
23,0.43199999999999994,3.6
24,0.52,3.8
25,0.32799999999999996,3.32
26,1.16,5.4
27,0.344,3.36
28,0.5120000000000001,3.78
29,0.8279999999999998,4.52
30,0.4239999999999998,3.56
31,0.3279999999999999,3.32
32,0.4000000000000001,3.5
33,0.5679999999999997,3.92
34,0.48000000000000015,3.7
35,0.29600000000000004,3.24
36,0.32000000000000006,3.3
37,-0.21599999999999997,1.96
38,-0.10400000000000002,2.24
39,0.42399999999999993,3.56
40,0.04800000000000002,2.62
41,0.20799999999999996,3.02
42,0.29600000000000004,3.24
43,0.512,3.78
44,0.192,2.98
45,0.28800000000000003,3.22
46,-0.055999999999999966,2.36
47,0.8719999999999996,4.68
48,0.24,3.1
49,0.6159999999999999,4.04
50,0.8799999999999999,4.7
51,0.472,3.68
52,0.02400000000000004,2.56
53,0.528,3.82
54,0.704,4.26
55,0.32800000000000007,3.32
56,0.9999999999999999,5.0
57,0.5519999999999999,3.88
58,0.768,4.42
59,0.7519999999999999,4.4
60,0.7359999999999995,4.34
61,0.6679999999999999,4.14
62,0.704,4.26
63,0.2320000000000001,3.08
64,0.472,3.68
65,0.7800000000000001,4.42
66,0.47599999999999987,3.64
67,0.7520000000000002,4.38
68,0.3520000000000001,3.38
69,1.092,5.18
70,0.8240000000000001,4.56
71,0.45599999999999996,3.64
72,0.9760000000000001,4.94
73,0.5399999999999998,3.8
74,0.7360000000000001,4.34
75,0.49599999999999994,3.74
76,0.9640000000000003,4.86
77,0.8719999999999998,4.7
78,0.9839999999999999,4.96
79,0.8800000000000003,4.72
80,1.0800000000000003,5.2
81,0.9919999999999998,4.98
82,0.9720000000000003,4.9
83,0.8800000000000001,4.7
84,1.2160000000000002,5.54
85,1.0799999999999994,5.2
86,0.8639999999999997,4.66
87,0.664,4.16
88,0.64,4.1
89,1.1600000000000001,5.4
90,0.7840000000000003,4.46
91,0.728,4.32
92,0.8639999999999999,4.66
93,0.5920000000000001,4.0
94,0.8559999999999997,4.64
95,1.1079999999999999,5.22
96,1.112,5.28
97,1.1319999999999997,5.28
98,1.0640000000000003,5.16
99,1.4159999999999997,6.04
100,1.5360000000000005,6.26
101,2.18,7.7
102,2.2479999999999993,7.94
103,1.636,6.54
104,1.872,7.18
105,2.1,7.4
106,1.84,6.92
107,2.1999999999999997,7.7
108,1.9640000000000004,7.26
109,0.88,4.72
110,2.5480000000000005,8.52
111,1.6880000000000004,6.64
112,2.2280000000000006,8.04
113,1.9999999999999993,7.4
114,2.424,8.16
115,2.6560000000000006,8.94
116,1.5679999999999998,6.32
117,1.8720000000000008,6.98
118,1.86,7.0
119,1.536,6.34
120,1.9079999999999993,7.12
121,1.7799999999999998,6.8
122,1.4560000000000002,6.14
123,2.3120000000000003,8.2
124,3.124000000000001,9.86
125,2.884,9.36
126,2.543999999999999,8.58
127,2.7359999999999998,8.94
128,2.4999999999999996,8.3
129,2.772,9.1
130,2.3920000000000003,8.08
131,2.564000000000001,8.56
132,2.904000000000001,9.36
133,2.02,7.3
134,2.2800000000000002,7.82
135,3.532,10.48
136,3.1719999999999997,9.78
137,2.1319999999999997,7.7
138,3.036000000000001,9.74
139,3.2319999999999993,10.08
140,3.4559999999999995,10.74
141,3.8000000000000007,11.12
142,2.952,9.58
143,4.12,11.82
144,3.82,11.5
145,3.3,10.12
146,3.4679999999999995,10.62
147,3.119999999999999,9.8
148,2.7879999999999994,9.02
149,3.1759999999999997,10.04
150,2.383999999999999,8.18
151,2.384,7.96
152,3.4759999999999995,10.54
153,2.8879999999999995,9.32
154,3.735999999999999,10.94
155,2.8279999999999994,9.04
156,3.9479999999999995,11.22
157,3.3879999999999995,10.44
158,3.292,10.18
159,3.2999999999999994,10.1
160,3.48,10.4
161,3.899999999999999,11.5
162,3.612000000000001,10.78
163,3.3479999999999994,10.22
164,3.2039999999999993,9.76
165,3.072,9.58
166,3.455999999999999,10.54
167,3.012,9.48
168,3.304,10.16
169,3.2399999999999993,10.0
170,2.8519999999999994,9.18
171,2.9960000000000004,9.54
