play,mean_rewards,mean_food_eaten
1,-0.6400000000000001,0.9
2,-0.5680000000000002,1.08
3,-0.3279999999999999,1.7
4,-0.11199999999999999,2.22
5,-0.04800000000000001,2.38
6,0.10400000000000002,2.76
7,0.20000000000000007,3.0
8,0.5519999999999997,3.88
9,-0.15999999999999995,2.1
10,0.304,3.26
11,0.2720000000000001,3.18
12,-0.04799999999999999,2.38
13,0.4319999999999999,3.58
14,0.2000000000000001,3.02
15,0.20800000000000005,3.02
16,-0.007999999999999978,2.48
17,0.336,3.34
18,0.19200000000000003,2.98
19,0.28,3.2
20,0.20800000000000005,3.02
21,0.6559999999999998,4.14
22,0.25600000000000006,3.14
23,0.40000000000000013,3.5
24,0.2960000000000001,3.24
25,0.6,4.0
26,0.15999999999999998,2.9
27,0.13599999999999998,2.84
28,0.504,3.76
29,0.4079999999999998,3.52
30,0.18000000000000005,2.9
31,-0.2879999999999999,1.78
32,0.12800000000000003,2.82
33,0.248,3.12
34,0.11199999999999992,2.78
35,0.08,2.7
36,0.24800000000000014,3.12
37,0.34400000000000014,3.36
38,0.4079999999999998,3.52
39,0.17600000000000002,2.94
40,0.43999999999999995,3.6
41,0.5679999999999998,3.94
42,0.096,2.74
43,0.43999999999999995,3.6
44,0.5040000000000001,3.76
45,0.616,4.04
46,0.6480000000000001,4.12
47,0.544,3.86
48,0.22400000000000003,3.06
49,0.28800000000000003,3.22
50,0.9680000000000003,4.92
51,0.688,4.22
52,0.24799999999999994,3.12
53,0.6799999999999998,4.2
54,0.3439999999999999,3.36
55,0.5440000000000002,3.86
56,0.21600000000000003,3.04
57,0.08400000000000003,2.66
58,0.7199999999999999,4.3
59,0.2720000000000001,3.18
60,0.14400000000000004,2.86
61,0.22400000000000006,3.06
62,0.456,3.64
63,0.28000000000000014,3.2
64,0.3360000000000001,3.34
65,0.7679999999999998,4.42
66,0.18400000000000014,2.96
67,0.40799999999999975,3.54
68,0.336,3.34
69,0.392,3.48
70,0.31200000000000006,3.28
71,0.12,2.82
72,0.44800000000000006,3.62
73,0.19200000000000003,2.98
74,0.42400000000000004,3.56
75,0.20000000000000007,3.0
76,0.352,3.4
77,0.3440000000000001,3.36
78,0.3280000000000001,3.32
79,0.37600000000000017,3.46
80,0.424,3.56
81,0.9839999999999999,4.96
82,0.3999999999999999,3.5
83,0.8319999999999997,4.58
84,0.6719999999999997,4.18
85,0.752,4.38
86,0.7199999999999999,4.3
87,1.392,5.98
88,0.7120000000000002,4.28
89,1.3880000000000003,5.92
90,1.0559999999999996,5.14
91,1.504,6.16
92,1.6079999999999997,6.42
93,1.984,7.46
94,1.184,5.46
95,1.32,5.8
96,1.2399999999999998,5.6
97,0.848,4.62
98,1.1760000000000002,5.44
99,1.2639999999999998,5.56
100,1.5079999999999996,6.22
101,1.5160000000000002,6.24
102,1.592,6.38
103,1.8039999999999998,6.96
104,1.7120000000000004,6.58
105,1.9880000000000002,7.32
106,2.488,8.62
107,2.463999999999999,8.26
108,2.228,7.92
109,1.6559999999999997,6.54
110,2.0999999999999996,7.6
111,2.052,7.58
112,1.76,6.8
113,1.9479999999999993,7.32
114,1.8240000000000003,6.98
115,2.647999999999999,8.92
116,2.4320000000000004,8.28
117,2.1,7.7
118,2.012,7.38
119,2.144,7.66
120,2.7359999999999998,9.04
121,2.9640000000000004,9.56
122,3.06,9.6
123,2.8959999999999995,9.24
124,2.1039999999999996,7.36
125,3.5320000000000005,10.58
126,2.8080000000000003,9.12
127,3.3480000000000003,10.52
128,3.224,10.16
129,3.6040000000000005,10.86
130,2.6919999999999993,8.78
131,3.932,11.68
132,3.6599999999999993,10.8
133,3.027999999999999,9.62
134,3.8840000000000003,11.36
135,2.9279999999999995,9.52
136,3.8080000000000007,11.22
137,3.2840000000000003,10.06
138,2.6679999999999997,8.92
139,3.3,10.1
140,2.832,9.32
141,3.0759999999999996,9.74
142,3.8759999999999994,11.14
143,3.012,9.58
144,4.007999999999999,11.72
145,3.1320000000000006,9.78
146,3.5760000000000014,10.76
147,3.231999999999999,9.98
148,3.1720000000000006,9.78
149,4.032,11.58
150,3.6519999999999992,10.78
151,3.3919999999999986,10.3
152,3.403999999999999,10.36
153,2.7519999999999993,8.88
154,3.6519999999999984,11.18
155,4.188,11.92
156,4.188,11.72
157,3.116,9.64
158,3.3279999999999994,10.02
159,3.0079999999999996,9.52
160,3.4159999999999995,10.34
161,3.7519999999999993,11.18
162,3.776,11.14
163,4.0040000000000004,11.36
164,3.1440000000000015,9.68
165,3.1599999999999993,10.1
166,3.2999999999999994,10.0
167,3.1839999999999997,9.68
168,4.084,11.86
169,2.972,9.68
170,3.527999999999999,10.72
171,4.195999999999999,11.84
172,3.563999999999999,10.66
173,3.6079999999999997,10.72
174,3.2960000000000003,10.14
175,2.8760000000000003,9.24
176,4.231999999999998,12.08
177,3.2639999999999993,10.06
178,3.0680000000000005,9.52
179,3.3879999999999995,10.12
180,3.7639999999999993,11.16
181,3.932,11.68
182,3.0999999999999996,9.8
183,3.452,10.68
184,3.9799999999999995,11.5
185,3.9279999999999995,11.32
186,3.8439999999999994,11.26
187,3.3439999999999994,10.16
188,3.5480000000000014,10.62
189,3.1319999999999997,9.8
190,2.956000000000001,9.14
191,3.2760000000000002,10.14
192,3.023999999999999,9.56
193,3.9799999999999986,11.5
194,3.948000000000001,11.42
195,2.7840000000000003,9.16
196,3.2679999999999993,10.22
197,3.1480000000000006,9.82
198,3.1919999999999997,9.98
199,3.4600000000000004,10.4
200,3.5319999999999987,10.88
201,3.2159999999999997,9.94
202,3.1,9.9
203,3.040000000000001,9.4
204,3.391999999999998,10.38
205,3.8120000000000003,11.18
206,2.952000000000001,9.28
207,3.423999999999999,10.48
208,2.552,8.48
209,3.3799999999999994,10.2
210,2.7159999999999993,8.64
