play,mean_rewards,mean_food_eaten
1,-0.7360000000000001,0.66
2,-0.7360000000000001,0.66
3,-0.6960000000000002,0.76
4,-0.5840000000000001,1.04
5,-0.6320000000000002,0.92
6,-0.1759999999999999,2.06
7,-0.6240000000000001,0.94
8,-0.4960000000000001,1.26
9,-0.4960000000000002,1.26
10,-0.664,0.84
11,-0.2879999999999999,1.8
12,-0.07199999999999995,2.32
13,-0.23199999999999987,1.92
14,-0.15999999999999998,2.1
15,-0.2799999999999999,1.8
16,-0.13599999999999995,2.16
17,-0.4079999999999999,1.48
18,-0.3119999999999999,1.72
19,0.152,2.88
20,-0.5520000000000003,1.12
21,-0.11199999999999993,2.22
22,0.32800000000000007,3.32
23,-0.19199999999999995,2.02
24,-0.23199999999999985,1.92
25,-0.12799999999999995,2.18
26,-0.1039999999999999,2.24
27,0.4320000000000001,3.58
28,0.16000000000000006,2.9
29,0.672,4.18
30,0.18400000000000005,2.96
31,-0.31199999999999994,1.72
32,0.016000000000000018,2.54
33,-0.12799999999999992,2.18
34,-1.7763568394002505e-17,2.5
35,0.10400000000000001,2.76
36,-0.19199999999999995,2.02
37,0.024000000000000053,2.56
38,0.28800000000000003,3.22
39,0.976,4.94
40,0.3040000000000001,3.26
41,0.5599999999999999,3.9
42,0.288,3.22
43,-0.007999999999999972,2.48
44,0.592,3.88
45,0.6520000000000001,4.08
46,0.7519999999999998,4.38
47,0.5439999999999999,3.86
48,0.7639999999999999,4.36
49,0.4000000000000001,3.5
50,0.12799999999999997,2.82
51,-0.2559999999999999,1.86
52,0.836,4.54
53,0.32799999999999996,3.32
54,1.056,5.14
55,0.716,4.24
56,0.696,4.24
57,0.82,4.5
58,0.4159999999999999,3.54
59,1.2880000000000005,5.62
60,1.024,4.96
61,1.128,5.32
62,1.5360000000000003,6.34
63,1.1079999999999999,5.22
64,0.6639999999999999,4.16
65,0.088,2.72
66,0.9560000000000001,4.84
67,0.956,4.84
68,0.7119999999999997,4.28
69,0.19200000000000003,2.98
70,1.4080000000000001,5.92
71,1.7919999999999996,6.88
72,0.436,3.54
73,1.4279999999999995,5.92
74,1.4919999999999995,6.08
75,1.136,5.34
76,0.76,4.4
77,2.0199999999999996,7.2
78,1.244,5.56
79,1.1200000000000003,5.2
80,0.536,3.84
81,2.244,7.86
82,1.6999999999999995,6.7
83,0.7199999999999998,4.3
84,1.4919999999999995,6.18
85,1.7680000000000005,6.92
86,1.3199999999999996,5.8
87,1.2639999999999996,5.66
88,0.9520000000000001,4.88
89,1.0399999999999996,5.1
90,2.316,8.14
