play,mean_rewards,mean_food_eaten
1,-0.8160000000000003,0.46
2,-0.19999999999999984,2.0
3,-0.48000000000000015,1.3
4,-0.4639999999999999,1.34
5,-0.5920000000000001,1.02
6,-0.37599999999999995,1.56
7,-0.5920000000000002,1.02
8,-0.3039999999999998,1.74
9,-0.576,1.06
10,-0.34399999999999986,1.64
11,-0.25599999999999984,1.86
12,-0.35999999999999993,1.6
13,-0.35999999999999976,1.6
14,-0.20799999999999996,1.98
15,-0.504,1.24
16,-0.08800000000000002,2.28
17,-0.3839999999999999,1.54
18,-0.21599999999999991,1.96
19,0.2160000000000001,3.04
20,-0.39199999999999996,1.52
21,-0.03999999999999995,2.4
22,-0.07199999999999995,2.32
23,0.3520000000000001,3.38
24,0.08800000000000002,2.72
25,0.2960000000000001,3.24
26,-0.11199999999999999,2.22
27,0.184,2.96
28,0.2,3.0
29,0.9199999999999998,4.8
30,-0.456,1.36
31,-0.20799999999999985,1.98
32,0.56,3.9
33,0.18400000000000002,2.96
34,0.4799999999999999,3.7
35,0.8000000000000003,4.5
36,-0.08799999999999994,2.28
37,0.5760000000000001,3.94
38,0.704,4.26
39,0.2480000000000001,3.12
40,0.49599999999999994,3.74
41,0.46399999999999997,3.66
42,0.3439999999999999,3.36
43,0.28,3.2
44,-0.128,2.18
45,0.28800000000000003,3.24
46,0.22400000000000003,3.06
47,1.2759999999999998,5.54
48,1.588,6.42
49,0.49200000000000016,3.68
50,0.9919999999999999,4.88
51,0.848,4.52
52,0.9280000000000003,4.82
53,0.23200000000000012,3.08
54,0.44,3.6
55,1.396,5.84
56,1.1,5.2
57,0.33599999999999997,3.34
58,1.4200000000000006,6.0
59,1.144,5.36
60,0.5599999999999997,3.9
61,1.3920000000000001,5.88
62,0.21600000000000005,3.04
63,0.58,3.9
64,1.6760000000000002,6.64
65,0.44800000000000006,3.62
66,1.232,5.58
67,0.9559999999999998,4.84
68,1.676,6.64
69,1.656,6.44
70,1.1039999999999996,5.26
71,0.7839999999999999,4.46
72,1.4040000000000001,5.96
73,1.5319999999999996,6.28
74,2.1919999999999997,7.88
75,0.976,4.94
76,1.9920000000000002,7.38
77,1.0399999999999996,5.0
78,2.516,8.54
79,2.06,7.4
80,1.6800000000000004,6.7
81,2.9400000000000013,9.3
82,1.896,7.14
83,2.3759999999999994,8.24
84,2.0440000000000005,7.36
85,2.38,8.2
86,1.088,5.12
87,0.4760000000000001,3.64
88,1.6360000000000001,6.44
89,1.4000000000000006,5.9
90,1.4359999999999993,5.96
91,2.0679999999999996,7.32
92,2.6560000000000006,8.74
93,2.8679999999999994,9.32
94,2.836,9.24
95,1.62,6.5
96,1.4879999999999998,6.12
97,1.7720000000000002,6.78
98,2.6759999999999997,9.04
99,1.0639999999999994,5.16
100,2.236,7.84
101,2.24,8.0
102,2.128,7.82
103,2.352,8.28
104,2.192,7.68
105,1.5959999999999999,6.34
106,1.4279999999999995,6.04
107,2.5159999999999996,8.64
108,2.688,9.14
109,2.4920000000000004,8.38
110,3.2239999999999993,10.26
111,1.184,5.46
112,2.684,8.86
113,2.3720000000000003,8.08
114,3.100000000000001,9.8
115,3.3399999999999994,10.3
116,2.54,8.6
117,1.5079999999999996,6.22
118,2.6240000000000006,8.56
119,3.6399999999999992,11.02
120,3.2639999999999993,10.18
121,2.8560000000000008,9.14
122,3.6559999999999993,11.04
123,4.292000000000001,12.08
124,3.536,10.64
125,4.188,12.12
126,3.4159999999999995,10.54
127,2.5040000000000004,8.36
128,2.9279999999999995,9.32
129,3.248,10.02
130,3.4359999999999995,10.54
131,3.9519999999999995,11.58
132,3.360000000000001,10.2
133,3.3920000000000003,10.38
134,3.271999999999999,10.28
135,3.6759999999999993,11.16
136,4.1080000000000005,11.82
137,3.9759999999999995,11.84
138,3.423999999999999,10.66
139,3.58,10.7
