play,mean_rewards,mean_food_eaten
1,-0.7440000000000003,0.64
2,-0.64,0.9
3,-0.4960000000000002,1.26
4,-0.22399999999999992,1.94
5,0.19199999999999995,2.98
6,-0.4640000000000001,1.36
7,-0.33599999999999997,1.66
8,-0.42399999999999993,1.46
9,-0.12799999999999995,2.18
10,-0.2799999999999999,1.8
11,-0.07199999999999998,2.32
12,-0.43199999999999994,1.42
13,3.552713678800501e-17,2.5
14,-0.2399999999999998,1.9
15,-0.2639999999999999,1.84
16,-0.6080000000000001,0.98
17,-0.07200000000000001,2.32
18,-0.02399999999999998,2.44
19,-0.48800000000000004,1.28
20,0.3520000000000001,3.38
21,-0.19199999999999992,2.02
22,-0.07999999999999995,2.3
23,-0.6560000000000002,0.86
24,-0.20799999999999985,1.98
25,-0.07199999999999998,2.32
26,-0.3919999999999999,1.52
27,0.45599999999999996,3.64
28,-0.14399999999999996,2.14
29,-0.088,2.28
30,0.20800000000000002,3.04
31,-0.16799999999999998,2.1
32,0.8,4.5
33,-0.35200000000000004,1.62
34,0.24000000000000007,3.1
35,-0.22399999999999995,1.94
36,-0.17599999999999993,2.06
37,0.064,2.66
38,-0.06399999999999995,2.34
39,0.58,3.9
40,-0.04,2.4
41,0.42400000000000004,3.56
42,0.3520000000000001,3.38
43,1.0639999999999998,5.16
44,0.968,4.92
45,0.5279999999999999,3.82
46,0.5199999999999999,3.8
47,1.3,5.7
48,0.9599999999999999,4.9
49,0.20000000000000007,3.0
50,0.32,3.3
51,0.424,3.56
52,0.47999999999999976,3.7
53,0.42399999999999993,3.56
54,0.37599999999999995,3.44
55,0.5399999999999998,3.8
56,0.368,3.42
57,0.7760000000000001,4.44
58,0.472,3.68
59,1.2159999999999997,5.44
60,1.2000000000000002,5.5
61,0.816,4.54
62,0.9599999999999997,4.9
63,0.592,4.0
64,1.4480000000000002,6.12
65,0.8640000000000003,4.56
66,1.4439999999999997,5.96
67,0.752,4.38
68,1.4719999999999995,6.18
69,1.3439999999999999,5.76
70,1.7280000000000004,6.72
71,0.728,4.32
72,1.032,5.08
73,1.2199999999999998,5.5
74,1.2,5.4
75,0.8040000000000002,4.46
76,2.3,8.1
77,1.5799999999999996,6.3
78,1.112,5.3
79,1.1239999999999997,5.26
80,0.616,4.04
81,1.4439999999999997,6.06
82,1.0679999999999996,5.02
83,1.848,7.02
84,1.8239999999999998,6.88
85,2.236,7.64
86,2.8439999999999994,9.26
87,2.464,8.36
88,2.9279999999999995,9.42
89,1.5159999999999991,6.24
90,1.9880000000000007,7.34
91,2.32,8.1
92,1.6639999999999997,6.56
93,1.9759999999999998,7.24
94,2.08,7.5
95,2.8320000000000003,9.08
96,2.1999999999999997,7.8
97,1.4760000000000002,6.14
98,2.056,7.34
99,1.3399999999999994,5.8
100,2.24,8.1
101,2.2320000000000007,7.88
102,1.8600000000000003,7.0
103,2.22,7.8
104,2.3240000000000007,7.98
105,2.8640000000000003,9.06
106,2.7999999999999994,9.1
107,2.1280000000000006,7.72
108,2.924,9.46
109,2.6240000000000006,8.76
110,3.7520000000000007,11.18
111,2.964,9.46
112,3.5040000000000004,10.46
113,2.444000000000001,8.36
114,2.1679999999999997,7.62
115,3.1,9.72
116,2.2840000000000003,8.06
117,2.3519999999999994,7.98
118,3.0880000000000014,9.82
119,3.316,10.14
120,2.864,9.08
121,2.5400000000000005,8.52
122,3.208000000000001,10.02
123,3.584000000000001,10.66
124,2.164,7.56
125,2.027999999999999,7.52
126,2.992,9.58
127,3.915999999999999,11.54
128,1.0440000000000003,5.06
129,3.2,10.1
130,3.0000000000000004,9.7
131,4.199999999999999,12.0
132,3.5479999999999996,10.62
133,4.507999999999999,12.72
134,3.0399999999999996,9.9
135,2.884,9.36
136,3.1759999999999997,9.94
137,3.9120000000000004,11.48
138,2.2119999999999997,7.78
139,3.5079999999999996,10.72
140,3.08,9.72
141,3.3039999999999994,10.26
142,2.504,8.46
143,4.072,11.78
144,3.7800000000000007,11.12
145,3.8279999999999994,11.14
146,2.231999999999999,7.78
147,2.8240000000000003,9.16
148,3.3280000000000003,10.22
149,3.7319999999999998,10.88
150,4.035999999999999,11.54
151,3.4800000000000013,10.6
152,4.091999999999999,11.88
153,2.6239999999999997,8.66
154,2.596,8.84
155,1.2199999999999998,5.4
156,3.292,10.18
157,2.7319999999999998,9.0
158,3.4759999999999995,10.54
159,2.787999999999999,9.12
160,3.291999999999999,10.28
161,3.5039999999999987,10.76
162,4.239999999999999,12.1
163,3.552,11.1
164,2.948,9.52
165,3.46,10.6
166,3.151999999999999,9.98
167,2.2199999999999998,7.7
168,3.0799999999999996,9.6
169,3.2159999999999984,10.04
170,3.5759999999999996,10.94
171,3.4719999999999995,10.58
172,4.036,11.74
173,4.447999999999999,12.62
174,4.448,12.52
175,3.22,9.9
176,3.792,11.28
177,3.952,11.58
178,4.039999999999999,11.5
179,1.2079999999999997,5.52
180,3.516,10.56
181,3.7119999999999997,10.88
182,3.76,10.9
183,4.132,11.8
184,3.5480000000000005,10.62
185,3.5,10.6
186,2.9399999999999995,9.5
187,3.764,11.16
188,3.4640000000000004,10.56
189,3.4120000000000004,10.28
190,4.0600000000000005,11.7
191,3.567999999999999,10.82
192,2.9400000000000013,9.3
193,3.136,9.84
194,4.012,11.58
195,3.7359999999999984,11.18
196,3.2439999999999993,10.26
197,2.8640000000000003,9.36
198,2.7880000000000003,9.22
199,2.56,8.7
200,3.2719999999999994,10.18
201,3.0599999999999996,9.7
202,4.048,11.72
203,3.4800000000000013,10.6
204,1.7439999999999998,6.76
205,3.464,10.58
206,3.4520000000000004,10.48
207,3.272,10.28
208,4.532,12.68
209,3.668,11.02
210,3.388000000000001,10.34
211,4.143999999999999,11.96
212,3.443999999999999,10.36
213,3.472,10.68
214,3.6359999999999992,10.86
215,4.144,11.66
216,2.244,7.78
217,3.8160000000000003,11.44
218,3.7799999999999994,11.3
219,3.4319999999999995,10.5
220,3.9719999999999986,11.48
221,3.9719999999999995,11.78
222,3.944,11.46
223,4.299999999999999,12.3
224,3.6359999999999997,10.96
225,3.5000000000000004,10.7
226,3.8599999999999994,11.3
227,3.8399999999999994,11.4
228,3.6439999999999992,10.86
229,3.5239999999999987,10.86
230,3.855999999999999,11.24
231,3.032,9.78
232,3.4599999999999995,10.72
233,2.3439999999999994,8.16
234,3.216,9.94
235,2.776,9.04
236,3.9119999999999995,11.48
237,3.548,10.74
238,3.555999999999999,10.74
239,3.963999999999998,11.56
240,2.4720000000000004,8.38
241,3.3119999999999994,10.38
242,3.5119999999999987,10.78
243,3.508,10.52
244,3.5199999999999996,10.52
245,4.235999999999999,12.24
246,3.6279999999999997,10.72
247,4.295999999999999,12.34
248,4.096,11.86
249,4.348,12.12
250,4.492000000000001,12.58
251,4.175999999999999,11.84
252,3.6679999999999997,11.02
253,3.5280000000000005,10.52
254,3.9959999999999987,11.54
255,3.776,11.34
256,3.5279999999999996,10.52
257,3.3959999999999995,10.44
258,4.684,13.06
259,3.4959999999999996,10.44
260,3.4079999999999995,10.42
261,4.16,11.9
262,3.939999999999998,11.7
263,2.8959999999999995,9.24
264,3.231999999999999,9.88
265,3.315999999999999,10.04
266,4.659999999999999,12.9
267,4.355999999999999,12.24
268,3.647999999999999,10.92
269,4.207999999999999,12.02
270,4.151999999999999,11.98
271,4.391999999999998,12.58
272,3.5680000000000014,10.72
273,3.2799999999999994,10.2
274,3.6399999999999992,11.0
275,3.6959999999999997,11.14
276,4.135999999999999,11.86
277,3.8719999999999986,11.28
278,4.4,12.3
279,2.6239999999999997,8.56
280,3.6439999999999992,10.76
281,4.055999999999999,11.84
282,4.128,11.72
283,3.6719999999999993,10.78
284,2.716,8.94
285,4.207999999999999,12.02
286,4.0,11.5
287,1.472,6.08
288,2.1079999999999997,7.64
289,3.919999999999999,11.7
290,3.8199999999999994,11.34
291,3.7039999999999997,10.96
292,2.3760000000000003,8.24
293,3.1719999999999997,9.9
