play,mean_rewards,mean_food_eaten
1,-0.6480000000000001,0.88
2,-0.6800000000000003,0.8
3,-0.2159999999999998,1.98
4,-0.56,1.1
5,-0.392,1.52
6,-0.512,1.22
7,-0.4960000000000001,1.26
8,-0.02400000000000002,2.44
9,-0.44800000000000006,1.38
10,-0.33599999999999997,1.66
11,-0.19199999999999992,2.02
12,-0.5040000000000001,1.24
13,-0.144,2.14
14,0.21600000000000008,3.04
15,-0.04799999999999997,2.38
16,0.38400000000000006,3.48
17,0.2400000000000001,3.1
18,-0.09600000000000002,2.26
19,-0.52,1.2
20,-0.05599999999999998,2.36
21,0.28,3.2
22,-0.17599999999999988,2.06
23,-0.04799999999999995,2.38
24,-0.168,2.08
25,0.23200000000000007,3.12
26,0.21599999999999994,3.04
27,0.01600000000000013,2.56
28,0.07200000000000001,2.68
29,0.192,3.02
30,0.024000000000000025,2.56
31,-0.15199999999999997,2.12
32,-0.28,1.8
33,0.40800000000000014,3.52
34,0.4799999999999999,3.7
35,0.03200000000000001,2.58
36,0.18400000000000008,2.96
37,0.5959999999999999,3.94
38,0.17600000000000007,2.94
39,0.28,3.2
40,0.7079999999999999,4.22
41,0.6039999999999999,3.96
42,1.4119999999999997,5.98
43,2.4424906541753444e-17,2.5
44,0.4000000000000001,3.5
45,0.20000000000000007,3.0
46,0.8799999999999999,4.7
47,1.308,5.62
48,0.11199999999999999,2.78
49,-0.03999999999999994,2.4
50,1.148,5.32
51,1.4319999999999995,5.98
52,0.41600000000000004,3.54
53,1.2480000000000002,5.62
54,1.5599999999999996,6.3
55,1.3919999999999997,5.98
56,1.5519999999999998,6.38
57,0.512,3.78
58,0.5519999999999999,3.88
59,1.076,5.14
60,1.572,6.4
61,0.6799999999999997,4.2
62,1.0879999999999999,5.22
63,0.988,4.92
64,1.3160000000000003,5.74
65,1.5319999999999998,6.18
66,0.512,3.78
67,1.648,6.52
68,0.836,4.54
69,1.152,5.38
70,1.1760000000000002,5.44
71,1.3319999999999996,5.78
72,1.896,7.14
73,0.688,4.22
74,1.4720000000000004,6.18
75,0.9919999999999999,4.98
76,1.5960000000000003,6.44
77,0.9760000000000002,4.84
78,1.3080000000000005,5.72
79,2.852000000000001,9.28
80,0.784,4.46
81,0.7440000000000001,4.36
82,2.36,8.2
83,1.8639999999999999,6.96
84,1.272,5.68
85,2.012,7.38
86,0.8919999999999998,4.68
87,2.384,8.06
88,1.6200000000000003,6.5
89,2.5279999999999996,8.52
90,1.0840000000000003,5.16
91,2.6359999999999997,8.64
92,1.2639999999999996,5.66
93,2.024,7.46
94,2.2319999999999998,7.88
95,2.1879999999999997,7.82
96,2.6919999999999997,8.88
97,2.7319999999999998,8.98
98,3.511999999999999,10.7
99,2.1159999999999997,7.54
100,2.5920000000000005,8.68
101,3.531999999999999,10.48
102,1.0679999999999996,5.12
103,2.464,8.26
104,3.02,9.52
105,2.824,9.3
106,2.144,7.66
107,1.9320000000000004,6.9
108,2.9600000000000004,9.4
109,2.636,8.84
110,2.772,9.18
111,2.592,8.58
